"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
2;"Suicide bombing";"2 (+1)";"24";"Dogubeyazit, Turkey";"A suicide attack by the PKK kills two Turkish Army soldiers and injures 24 in the Turkish town of Dogubeyazit in Agri Province near the Iran border.[citation needed]";"PKK";"Turkey–PKK conflict";"August";"2015"
3;"Petrol bomb";"0";"3";"Beit Hanina, Jerusalem";"Unknown people threw a Molotov cocktail on a car in East Jerusalem. 27-year-old Israeli woman was injured in moderate condition with second-degree-burn in 15% of her body, 20-year-old man tried to put out the fire and was lightly injured and another man was lightly injured when the burned vehicle hit another vehicle.[1] 9 members of a Palestinians popular gang were arrested for the attack.[2]";"Palestinian gang
(suspected)";"Israeli–Palestinian conflict";"August";"2015"
6;"Vehicular assault";"0";"3 (+1)";"West Bank";"45-year-old Raid Mohammed Badwan drove his vehicle at three Israeli Soldiers who were patrolling in highway 60, close to Sinjil and north to Ramallah. Two were severely injured with head trauma and internal injuries. Another one was lightly injured with limb injuries. Other Israel Defense Forces (IDF) soldiers that were in the scene quickly shot and neutralized Badwan and he was also severely injured.[3]";"Raid Mohammed Badwan (lone wolf)";"Israeli–Palestinian conflict";"August";"2015"
6;"Suicide bombing";"15";"9";"Abha, Saudi Arabia";"2015 Abha mosque bombing: A suicide bomb attack kills at least 15 people at a mosque in the south-western Saudi city of Abha.[4]";"Islamic State affiliate[5]";"";"August";"2015"
6;"Suicide bombing";"8";"12";"Pul-i-Alam, Afghanistan";"A suicide bomber kills at least eight people and injures twelve in the city of Pul-i-Alam in Logar Province.[citation needed]";"Unknown";"War in Afghanistan";"August";"2015"
7;"Melee attack";"1";"0";"Dhaka, Bangladesh";"Attackers armed with machetes killed a known atheist blogger called Niloy Neel (Niloy Chatterjee) in Dhaka. Attack was attributed to a group of suspected members of banned Islamist Ansarullah Bangla Team including a British citizen.[6][7][8]";"Ansarullah Bangla Team (suspected)";"Internal conflict in Bangladesh";"August";"2015"
7;"Attack";"13";"0";"Sévaré, Mali";"Gunmen attacked a hotel in the town Sévaré in Mali. The perpetrators took several hostages. Islamist militants were behind the attack.[9]";"Al-Mourabitoun";"Insurgency in the Maghreb";"August";"2015"
7;"Suicide bombing, car bomb";"50+ (+1)";"500+";"Kabul, Afghanistan";"August 2015 Kabul Bombing: A lone suicide bomber attacked recruits outside a police academy. A truck bomb was set off in a residential area in the city. A block was leveled, leaving a thirty foot deep crater. At least 50 people were killed with more than 500 wounded. Responsibility for the attack has not been claimed, but the Taliban is suspected.[10]";"Taliban (suspected)";"War in Afghanistan";"August";"2015"
9;"Shooting";"3 (+1)";"1";"Port Said Governorate, Egypt";"3 police die in a shooting incident in Port Said Governorate.[11]";"Unknown";"Sinai insurgency";"August";"2015"
9;"Shooting";"4";"2";"Nigeria";"Suspected Boko Haram gunmen shot a car with 6 passenger, killing 4 of them and injuring the other 2.[12]";"Boko Haram (Suspected)";"Boko Haram insurgency";"August";"2015"
9;"Shooting";"10";"";"Gaberi, Tombouctou Region, Mali";"Gunmen killed at least 11 people.[13]";"Unknown";"Insurgency in the Maghreb";"August";"2015"
9;"Car bomb";"3";"13";"Derna, Libya";"At least 3 people die in car bombing in Derna[14]";"Islamic State (suspected)";"Libyan Civil War";"August";"2015"
9;"Melee weapon";"0 (+1)";"1";"West Bank";"A Palestinian man approached a 26-year-old Israeli civilian who was fueling his car on a Gas Station on Highway 443 and stabbed him, leaving him with light stabbing wounds on his upper body. IDF then opened fire at the terrorist and he died at the scene.[15]";"Palestinian (lone wolf)";"Israeli–Palestinian conflict";"August";"2015"
10;"Suicide bombing";"50+";"80+";"Diyala Province, Iraq";"Bombings in the predominantly Shia areas of the Diyala Province killed more than 50 people and wounded more than 80. Islamic State claimed responsibility for the attacks.[16]";"Islamic State";"Iraq War";"August";"2015"
10;"Suicide bombing";"5";"16";"Kabul, Afghanistan";"10 August 2015 Kabul suicide attack: 5 people died and more than 16 wounded in suicide attack in Kabul[17][18]";"Taliban (suspected)";"War in Afghanistan";"August";"2015"
13;"car bomb";"76+";"212";"Baghdad, Iraq";"2015 Baghdad market truck bombing: A refrigeration truck loaded with explosives was blown up in the center of a market in Baghdad's Sadr City. Followers of Shia Islam were targeted in the attack. Seventy-six were killed with two hundred and twelve wounded. Islamic State claimed responsibility for the attack.[19][20]";"Islamic State";"Iraq War";"August";"2015"
12;"Execution";"1";"0";"Cairo, Egypt";"A Croatian citizen was executed by Islamic State.[21]";"Islamic State";"Sinai insurgency";"August";"2015"
15;"Melee attack";"0";"1 (+1)";"West Bank";"Mahmoud Nasim Yousef Gumhouriyya arrived at a checkpoint in road 443 near Beit Horon and approached a group of Israeli soldiers when he pulled out a knife and stabbed one of the soldiers, leaving him with light wounds. Other forces there shot Gumhouriyya and neutralised him. The terrorist was injured in light condition. After an investigation, Gumhouriyya claimed he attacked out of rage after fighting his father. He succumbed to his wounds.[22]";"Mahmoud Nasim Yousef Gumhouriyya (lone wolf)";"Israeli–Palestinian conflict";"August";"2015"
15;"Melee attack";"0 (+1)";"1";"Near Kfar Tapuach, West Bank";"16-year-old Ahmad Kamal Rafik approached a team of fighters that was carrying out a routine check, then suddenly took out a knife and stabbed one of them multiple times in the back, leaving him with light stab wounds. A soldier standing next to him shot the attacker and neutralised him. The attack took place near the Tapuach Junction, which leads to Nablus, near the Tapuach settlement in the center of the West Bank.[23][24]";"Ahmad Kamal Rafik (lone wolf)";"Israeli–Palestinian conflict";"August";"2015"
15;"Bombing";"20+";"101+";"Baghdad, Iraq";"A series of bomb attacks in and around Baghdad killed at least 20 people and injured more than 100 on 15 August. Islamic State claimed responsibility for the attacks.[25]";"Islamic State";"Iraq War";"August";"2015"
16;"Suicide bombing";"22";"20";"Attock District, Pakistan";"2015 Attock bombing Two suspected suicide bombers detonated explosives in the home of Punjab Interior Minister Shuja Khanzada in the Attock District village of Shadikhan, killing the minister and at least 21 other people. Lashkar-e-Jhangvi (LeJ), a group associated with Al-Qaeda, claimed responsibility for the attack.";"Lashkar-e-Jhangvi";"War in North-West Pakistan";"August";"2015"
17;"Melee attack";"0 (+1)";"1";"Near Kfar Tapuach, West Bank";"22-year-old Abu-Amsha al-Atrash approached Israeli police officers at the checkpoint near Tapuach Junction and told them he was not feeling well. The officers then told the man to halt, but he continued to approach them, finally pulling out a knife and stabbing one of the officers, lightly wounding him. The Border Police opened fire, critically injuring the attacker who died of his wounds.[26] Palestinian sources claimed the attacker was an activist of the Palestinian Islamic Jihad[27]";"Abu-Amsha al-Atrash (Palestinian Islamic Jihad)";"Israeli–Palestinian conflict";"August";"2015"
17;"Bombing";"21";"123";"Ratchaprasong Intersection, Bangkok";"2015 Ratchaprasong bombing: Bomb attack outside the Erawan Shrine at the Ratchaprasong Intersection in Pathum Wan District, Bangkok, Thailand.[28][29]";"Grey Wolves (suspected)";"";"August";"2015"
19;"Car bomb";"0";"29";"Cairo, Egypt";"A car bomb detonated at 2:30am near a state security building injured 29 people including 6 policemen in Cairo, Egypt. Islamic State claimed responsibility for the attack.[30]";"Islamic State";"Sinai insurgency";"August";"2015"
19;"Bombing";"8";"";"Siirt Province, Turkey";"Eight soldiers were killed in a bomb attack in Turkey's south-eastern Siirt Province. Kurdistan Workers' Party was blamed for the attack.[31]";"PKK";"Turkey–PKK conflict";"August";"2015"
21;"Shooting Melee attack";"0";"3 (+1)";"Oignies, Pas-de-Calais";"2015 Thalys train attack: A man opened fire with an AKM assault rifle on a Thalys high speed train between Amsterdam and Paris. One person was shot in the neck. Two United States military personnel and their civilian friend intervened and stopped the attack continuing. One of them was cut in the struggle. Another passenger received glass cuts.[32]";"Ayoub El Kahzani[33]";"Wave of Terror in Europe";"August";"2015"
22;"Car bomb";"10+";"60+";"Kabul, Afghanistan";"22 August 2015 Kabul suicide attack At least 10 people died and more than 60 wounded in suicide attack in Kabul[34][35]";"Taliban (suspected)";"War in Afghanistan";"August";"2015"
24;"Bombing";"2";"24";"Beheira Governorate, Egypt";"Two policemen were killed and 24 others injured when a bomb blast hit a vehicle carrying policemen in Beheira Governorate, Egypt.[36]";"Unknown";"Sinai insurgency";"August";"2015"
26;"Melee attack";"0";"1";"East Jerusalem";"Fifty-six-year-old Mahmoud Ata Muammar approached a Magav squad in Jerusalem and attacked them with an axe, managing to injure one of them. Ata Muammar was released in the third phase of the Gilad Shalit prisoner exchange after imprisoned for murdering Menahem Stern.[37]";"Mahmoud Ata Muammar (lone wolf)";"Israeli–Palestinian conflict";"August";"2015"
30;"Bombing";"0";"0";"Ontario, Canada";"An explosive device partially detonated at a water treatment facility in Barrie city, Ontario province, Canada. A second device was discovered and defused in a nearby location. No group claimed responsibility for the attack.[38]";"Unknown";"Terrorism in Canada";"August";"2015"
31;"Chemical";"0";"100+";"Herat, Afghanistan";"Local officials said more than 100 school girls were poisoned in western Herat province early Monday. The incident took place in Herat city when the girls were at school, said officials.[39]";"Unknown";"War in Afghanistan";"August";"2015"
