"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Shooting";"2";"1";"Raman, Thailand";"Islamists spray a tea shop with bullets killing two villagers.";"Islamists";"South Thailand insurgency";"April";"2016"
2;"Car bomb";"1";"11";"Kiziltepe, Turkey";"One building guard was killed and 11 others were injured in a bomb attack by PKK terrorists at a military station in the southeastern Mardin province.[1]";"PKK";"PKK rebellion";"April";"2016"
2;"Shooting";"7";"Unknown";"Mogadishu, Somalia";"Seven people, including three intelligence security officers, died Saturday in three shootings in Mogadishu.[2]";"al-Shabaab";"War in Somalia";"April";"2016"
2;"Shooting";"1";"0";"Tarmiya, Iraq";"Islamic militants stormed a house and killed a woman";"Islamist";"Iraqi Civil War";"April";"2016"
2;"Assassination";"2";"0";"Bayda field, Libya";"Two guards were killed in an attempted attack on an oil field in eastern Libya by suspected ISIS militants.[3]";"Islamic State";"Second Libyan Civil War";"April";"2016"
3;"Melee attack";"0";"1";"Rosh Haayin, Israel";"A female terrorist from Kafr Qasim stabbed a 30-year-old woman in the shoulder in nearby Rosh Haayin, before being overpowered and disarmed.[4]";"Lone wolf";"Israeli-Palestinian conflict";"April";"2016"
4;"Suicide bombing";"5 (+1)";"10";"Basra, Iraq";"A suicide bomber blew himself up on a street killing five people and wounding five others in the southern city of Basra.[5][6]";"Islamic State";"Iraqi Civil War";"April";"2016"
4;"Suicide bombing";"14 (+1)";"27";"Nasiriyah, Iraq";"A suicide bomber blew himself up inside a restaurant that is frequented by Shiite paramilitary militia fighters, killing at least 14 people.[6]";"Islamic State";"Iraqi Civil War";"April";"2016"
4;"Suicide car bombing";"6 (+1)";"13";"Baghdad, Iraq";"Earlier in the day, a suicide bomber rammed his car into a security checkpoint in the capital's northeastern suburb of Sadr al-Qanat, killing six troops and wounding 13 others.[6]";"Islamic State";"Iraqi Civil War";"April";"2016"
4;"Suicide car bombing";"4 (+1)";"10";"Mshahdh, Iraq";"Another suicide car bomber hit a headquarters of paramilitary troops in the town of Mishahda, 20 miles (30 kilometers) north of Baghdad, killing four troops and wounding 10 others.[6]";"Islamic State";"Iraqi Civil War";"April";"2016"
4;"Bombing";"6";"0";"Balkh, Afghanistan";"At least six police officers have been killed in a Taliban ambush on their convoy in Afghanistan's northern Balkh province.[7]";"Taliban";"War in Afghanistan";"April";"2016"
4;"Chemical attack";"0";"40+";"Deir ez-Zor, Syria";"Islamic State militants used mortar shells containing a poisonous chemical on an attack on a Syrian military airbase in Deir ez-Zor.[8]";"Islamic State";"Syrian Civil War";"April";"2016"
4;"Clash";"1";"2";"Waddan, Libya";"Unknown militants clashed with 4 guards for 15 minutes at the Eastern gate of Waddan, a oasis town in southwest Libya in the midst of the Sahara Desert. One of the guards was killed and two others injured one seriously and admitted to ICU.[9]";"Islamic Statesuspected";"Second Libyan Civil War";"April";"2016"
5;"Car bomb";"1";"Unknown";"Maarrat al-Nu'man, Syria";"The explosion of a car bomb in Maarrat al-Nu'man in the province of Idlib in Syria has killed a woman and injured several people.[10]";"Unknown";"Syrian Civil War";"April";"2016"
5;"Shooting";"0";"1";"Mogadishu, Somalia";"At least one person was critically wounded when unknown gunmen attacked house of Abdullahi Mo'alin Nur, a Somali army commander in Mogadishu. Assailants believed to be members of the Al Qaeda-linked Al-shabaab.[11]";"Al-shabaab suspected";"War in Somalia";"April";"2016"
5;"Shooting";"5";"0";"Izige, Nigeria";"Boko Haram terrorists launched the attack in the early hours of Monday, killing three soldiers and two vigilante members. But they were forced to stage a retreat due to the superior fire power from the military.[12]";"Boko Haram";"Boko Haram insurgency";"April";"2016"
5;"Suicide bombings";"3 (+2)";"Unknown";"Diffa, Niger";"The two suicide bombers exploded their devices in a public transport vehicle that was going to a market in Diffa. At least three civilians were killed and several others injured.[13]";"Boko Haram";"Boko Haram insurgency";"April";"2016"
6;"Burning";"15";"0";"Fallujah, Iraq";"caliphate burns fifteen civilians alive for trying to flee.";"unknown";"Iraqi Civil War";"April";"2016"
7;"Shooting";"1";"0";"Dhaka, Bangladesh";"Three motorcycle-riding assailants hacked and shot to death a student opponent of radical Islam as he was walking with a friend along a street in Bangladesh's capital, police said Thursday. The victim is 28-year-old blogger, Nazimuddin Samad. Al-Qaeda in the Indian Subcontinent claimed responsibility for the attack.[14]";"Al-Qaeda in the Indian Subcontinent";"Internal conflict in Bangladesh";"April";"2016"
7;"Shooting, bomb";"5";"5";"Nusaybin, Turkey";"Five security officials, including two police chiefs and a major, have been killed in an attack in the Nusaybin district of the southeastern province of Mardin.[15]";"PKK";"PKK rebellion";"April";"2016"
7;"Bomb";"2";"9";"Baghdad, Iraq";"11 people had been either killed or wounded in a bomb blast near a football stadium in southern Baghdad.[16]";"Unknown";"Iraqi Civil War";"April";"2016"
7;"Chemical attack";"23";"100+";"Aleppo, Syria";"A district of Aleppo in Syria controlled by Kurdish fighters have been the target of a chemical attack by Islamic terrorists. Videos show a yellow gas rises above the Sheikh Maksoud neighbourhood.[17] Islamist group Jaysh al-Islam claimed responsibility and stated that they will punish whoever used the chemical weapon.[18]";"Jaysh al-Islam";"Syrian Civil War";"April";"2016"
8;"Bombing";"0";"2";"Bijbehara, India";"Two people were injured in a grenade attack on Friday in busy Gorwian market.[19]";"Unknown";"Kashmir conflict";"April";"2016"
8;"Mortar attack";"3";"10";"Mogadishu, Somalia";"Three people were killed and 10 injured in a mortar attack in Somali capital Mogadishu late Thursday, an official said. The attack by suspected al-Shabaab militants saw bombs land in the city's seaside Hamar Weyne district. No group claimed responsibility but Al-shabaab is suspected because they have done similar attacks in the past.[20]";"Al-shabaab suspected";"War in Somalia";"April";"2016"
8;"Bombings";"7";"15";"Rafah, Egypt";"At least seven people are killed, including five Egyptian Army soldiers, a military officer and a civilian woman in two separate blasts in Egypt's Sinai Peninsula. ISIL's Sinai branch claimed responsibility for the attacks on several websites.[21]";"Islamic State";"Sinai insurgency";"April";"2016"
8;"Suicide bombings, shooting";"0";"3";"Maiduguri, Nigeria";"Nigerian troops neutralised four suspected Boko Haram suicide bombers to attack the restive northeastern city of Maiduguri. Three soldiers sustained injuries during the incident.[22]";"Boko Haram";"Boko Haram insurgency";"April";"2016"
8;"Shooting, melee attack";"4";"0";"Damascus, Syria";"ISIS releases more than the 300 workers it kidnapped but kills for 4 Druze.[23]";"Islamic State";"Syrian Civil War";"April";"2016"
8;"Massacre";"175+";"300 kidnapped";"Damascus, Syria";"ISIS fighters reportedly executed 175 of the 300 kidnapped cement workers outside the Syrian capital Damascus, according to the state's military.";"Islamic State";"Syrian Civil War";"April";"2016"
9;"Shooting";"17";"17";"Ahwar, Yemen";"At least 17 Yemeni soldiers were executed by Al-Qaeda terrorist group and another 17 were wounded.[24]";"Al-Qaeda";"Yemeni Civil War (2015–present)";"April";"2016"
9;"Car bombing";"3";"5";"Mogadishu, Somalia";"At least 3 people die and 5 others were wounded in car bombing in Mogadishu.[25]";"Al Shabaab";"War in Somalia";"April";"2016"
9;"Bombing";"1";"3";"Baqubah, Iraq";"A bomb killed one and 3 people were injured in Diyala Province[26]";"Unknown";"Iraqi Civil War";"April";"2016"
9;"Bombing";"2";"8";"Sabaa Al Bour, Iraq";"In Sabaa Al Bour a bomb killed at least 2 people and another 8 were injured.[27]";"Unknown";"Iraqi Civil War";"April";"2016"
