"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Attack";"2";"0";"Ramadi, Iraq";"Two members of the engineering teams were killed by Islamic State militants.[1]";"Islamic State";"Iraqi Civil War";"December";"2016"
"1";"Bombing";"2";"7";"Baghdad, Iraq";"Four bombs killed two people and injured another seven in Sha'ab, a neighbourhood of Baghdad.[2]";"Islamic State";"Iraqi Civil War";"December";"2016"
"1";"Bombing";"1";"1";"Quibdó, Colombia";"A five-year-old girl from the Embera indigenous community died. Her mother was also injured.[3]";"National Liberation Army";"Colombian Conflict";"December";"2016"
"1";"Attack";"1";"Unknown";"Jalalaqsi, Somalia";"Insurgents killed at least one person.[4]";"Al-Shabaab";"War in Somalia";"December";"2016"
"1";"Bombing";"1";"3";"Yala, Thailand";"One soldier was killed and three others were injured Wednesday in an early morning explosion in south Thailand.[5]";"Pattani separatists";"South Thailand Insurgency";"December";"2016"
"2";"Suicide bombings";"6 (+Several)";"38+";"Sirte, Libya";"Several women committed suicide bombings that killed four Libyan soldiers and two other women. The victims had previously granted them safe passage to leave buildings under the control of Islamic State militants.[6]";"Islamic State – Libya Province";"Second Libyan Civil War";"December";"2016"
"3";"Executions";"4";"0";"Deir ez-Zor, Syria";"Four men were executed by Islamic State.[7]";"Islamic State";"Syrian Civil War";"December";"2016"
"3";"Execution";"1";"0";"Kabul, Afghanistan";"The Taliban executed a fourth-year student of Kabul Polytechnic University in Sewaka village, 60 km from Kabul. Faiz ul Rahman Wardak was accused of being involved of the assassination of a Taliban intelligence officer, Mullah Mirwais, and was hanged for this accusation.[8]";"Taliban";"War in Afghanistan";"December";"2016"
"3";"Shooting";"2";"8";"Tirap district, India";"Two soldiers were killed and eight others were injured, when a group of militants opened fire on a convoy.[9]";"National Socialist Council of Nagaland (suspected)";"Insurgency in Northeast India";"December";"2016"
"3";"Suicide bombing";"24 (+1)";"Unknown";"Mosul, Iraq";"At least 24 people were killed in an attack by the Islamic State militant group in the Iraqi city of Mosul on Saturday.[10]";"Islamic State";"Iraqi Civil War";"December";"2016"
"4";"Shooting";"2";"0";"Mardan, Pakistan";"At least two persons were shot dead by unidentified armed men riding a motorcycle in Lond Khor area of Mardan.[11]";"Lashkar-e-Jhangvi (suspected)";"War in North-West Pakistan";"December";"2016"
"5";"Executions";"11";"0";"Mosul, Iraq";"The Islamic State executed 11 persons, including a whole family, for trying to flee its areas.[12]";"Islamic State";"Iraqi Civil War";"December";"2016"
"5";"Execution";"1";"0";"Aleppo, Syria";"Islamic State executed a homosexual man in the city of Aleppo.[13]";"Islamic State";"Syrian Civil War";"December";"2016"
"5";"Car bombs";"9";"Unknown";"Benghazi, Libya";"Terrorists launched two suicide vehicles towards army lines. 9 soldiers were killed.[14]";"Islamic State – Libya Province";"Second Libyan Civil War";"December";"2016"
"5";"Shooting";"1";"0";"Arsal, Lebanon";"Insurgent shoot dead one soldier.[15]";"Islamic State (suspected)";"Syrian Civil War spillover in Lebanon";"December";"2016"
"6";"Bombing";"3";"0";"Jumuma, Afghanistan";"A bomb kills at least 3 civilians in Jumuma, a village in Paktika Province.[16]";"Taliban";"War in Afghanistan";"December";"2016"
"6";"Landmine";"1";"1";"Chhattisgarh, India";"A CRPF trooper was killed and another wounded as Maoists set off three Improvised Explosive Device (IED) blasts and fired at separate places in Chhattisgarh's Bastar on Tuesday.[17]";"Naxalite";"Naxalite–Maoist insurgency";"December";"2016"
"6";"Shooting";"0";"2";"Niono, Mali";"Al-Qaeda militants attacked a prison. Two guards were injured. Dozens of prisoners have escaped.[18]";"Al-Qaeda in the Islamic Maghreb";"Northern Mali conflict";"December";"2016"
"6";"Shooting";"1";"1";"Butig, Philippines";"A soldier was killed while a policeman was wounded in separate clashes between government forces and suspected members of the Maute group in Butig, Lanao del Sur, a military official said Tuesday.[19]";"Maute Group";"Moro conflict";"December";"2016"
"6";"Bombing";"6";"3+";"Pattani Province and Narathiwat Province, Thailand";"Suspected insurgents shot dead six people in a series of attacks carried out Tuesday and Wednesday in south Thailand.[20]";"Pattani separatists";"South Thailand Insurgency";"December";"2016"
"7";"Suicide bombing";"20 (+1)";"Unknown";"Mosul, Iraq";"An Islamic State suicide bomber blew himself up near a hospital, killing 20 soldiers.[21]";"Islamic State";"Iraqi Civil War";"December";"2016"
"7";"Car bombs";"0";"22";"Benghazi, Libya";"Terrorists launched a \"double-tap\" car bombing outside the Benghazi headquarters of Saiqa Special Force. The two blasts appear to have killed nobody outright but left 22 people injured.[22]";"Islamic State – Libya Province";"Second Libyan Civil War";"December";"2016"
"8";"Shooting";"26";"Unknown";"Homs, Syria";"Islamic State group jihadists killed at least 26 members of Syrian government forces today in an assault on regime positions in the central province of Homs.[23]";"Islamic State";"Syrian Civil War";"December";"2016"
"9";"Bombing";"10";"22";"Baghdad, Iraq";"Separate bombings in the Iraqi capital killed 10 people and wounded another 22.[24]";"Islamic State";"Iraqi Civil War";"December";"2016"
"9";"Bombing";"7";"7";"Cairo, Egypt";"Six police officers and a civilian were killed in a bombing near a checkpoint in the Egyptian capital. Three additional officers and four civilians were wounded by the blast.[25][26]";"The Hasm Movement";"Insurgency in Egypt";"December";"2016"
"9";"Suicide bombings";"57 (+2)";"177";"Madagali, Nigeria";"Madagali suicide bombings: Officials say 2 explosions in Madagali a town Nigeria have killed 57 and injured 177.[27]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"9";"Bombing";"1";"3";"Kafr El Sheikh, Egypt";"A civilian died and another 3 were injured in bombing attack.[28][29]";"Islamic State – Sinai Province";"Insurgency in Egypt";"December";"2016"
"10";"Shooting";"4";"0";"Dara Saidan, Afghanistan";"At least 4 civilians die in shooting in Parwan Province.[30]";"Taliban";"War in Afghanistan";"December";"2016"
"10";"Bombing";"2";"0";"Mogadishu, Somalia";"A bomb killed at least 2 people in Somalia.[31]";"Al-Shabaab";"War in Somalia";"December";"2016"
"10";"Shooting";"0 (+3)";"Unknown";"Lahad Datu, Malaysia";"Three members of Abu Sayyaf, including a leader, were killed in a shooting between the police and the militant. The shooting occurred in Malaysia.[32]";"Abu Sayyaf";"Cross border attacks in Sabah";"December";"2016"
"10";"Shooting";"1";"1";"Peshawar, Pakistan";"Insurgents killed one officer in Peshawar.[33][34]";"Unknown";"War in North-West Pakistan";"December";"2016"
"10";"Suicide bombing";"50+ (+1)";"70+";"Aden, Yemen";"December 2016 Aden suicide bombings: 50 Yemeni soldiers were killed and another 70 were injured in a suicide bombing attack.[35]";"Islamic State – Yemen Province";"Yemeni Civil War";"December";"2016"
"10";"Car bombing, suicide bombing";"46 (+2)";"155";"Istanbul, Turkey";"December 2016 Istanbul bombings: Two bombs killed 44 and injured at least 155 people in Istanbul.[36]";"Kurdistan Freedom Falcons";"Kurdish–Turkish conflict";"December";"2016"
"10";"Execution";"1";"0";"Mosul, Iraq";"Islamic State militants executed an Iraqi journalist in central Mosul.[37]";"Islamic State";"Iraqi Civil War";"December";"2016"
"11";"Suicide bombing";"3 (+1)";"17";"Maiduguri, Nigeria";"Boko Haram Attack Leaves 3 Dead and 17 Injured in Borno.[38]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"11";"Shootings";"3";"1";"Quetta, Pakistan";"At least three people in separate shootings in Quetta.[39]";"Lashkar-e-Jhangvi (suspected)";"Sectarianism in Pakistan";"December";"2016"
"11";"Bombing";"0";"4";"Narathiwat, Thailand";"Four border patrol police officers were hospitalized in south Thailand on Monday, when a remote controlled bomb exploded near their vehicle.[40]";"Pattani separatists";"South Thailand Insurgency";"December";"2016"
"11";"Suicide bombing";"29 (+1)";"50";"Mogadishu, Somalia";"December 2016 Mogadishu suicide bombing: At least 29 people died and another 50 were injured in a suicide bombing attack on a police station near Mogadishu's port.[41]";"Al-Shabaab";"War in Somalia";"December";"2016"
"11";"Suicide bombing";"27 (+1)";"47";"Cairo, Egypt";"Botroseya Church bombing: At least 27 people were killed and 47 injured after an explosion in a Coptic cathedral in Cairo.[42][43]";"Islamic State – Sinai Province";"Insurgency in Egypt";"December";"2016"
"11";"Suicide bombings";"3 (+2)";"17";"Maiduguri, Nigeria";"3 people were killed in two suicide bombing attack in Maiduguri.[44]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"11";"Car bombings";"8";"Unknown";"Fallujah, Iraq";"Two car bombing kills at least 8 people in Fallujah.[45]";"Islamic State";"Iraqi Civil War";"December";"2016"
"11";"Executions";"5";"0";"Damascus, Syria";"5 people were executed by Islamic State militants.[46]";"Islamic State";"Syrian Civil War";"December";"2016"
"11";"Executions";"11";"Unknown";"Aden, Yemen";"11 men were executed, al Qaeda were suspected.[47]";"Al-Qaeda (suspected)";"Yemeni Civil War";"December";"2016"
"12";"Bombing";"4";"10";"Kismayo, Somalia";"At least four people were killed and 10 injured in a bomb blast in Kismayo, south of Mogadishu.[48]";"Al-Shabaab";"War in Somalia";"December";"2016"
"12";"Bombing";"1";"3";"Aba Khel, Pakistan";"A bomb killed one and another 3 were injured in North Waziristan.[49]";"Lashkar-e-Jhangvi (suspected)";"War in North-West Pakistan";"December";"2016"
"12";"Bombing";"4";"0";"Sheikh Zuweid, Egypt";"A military vehicle struck a roadside bomb during a security swoop in North Sinai's city of Sheikh Zuweid, killing four soldiers.[50]";"Islamic State – Sinai Province";"Insurgency in Egypt";"December";"2016"
"12";"Bombing";"1";"0";"Dangam District, Afghanistan";"A senior commander of the Afghan Border Police forces was killed in an explosion in eastern Kunar province.[51]";"Islamic State – Khorasan Province (suspected)";"War in Afghanistan";"December";"2016"
"12";"Rocket attack";"0";"Unknown";"Sinai, Egypt";"The Islamic State terror group claimed that it was responsible for firing two missiles on Monday from the Sinai Peninsula, aimed at an Israeli border crossing with Egypt but which missed the mark and landed in Egyptian territory.[52]";"Islamic State – Sinai Province";"Sinai insurgency";"December";"2016"
"12";"Bombing";"3";"Unknown";"Kismayo, Somalia";"Three people were killed in hand grenade attacks on a restaurant Sunday evening in southern Somalia, police confirmed on Monday.[53]";"Al-Shabaab (suspected)";"War in Somalia (2009–present)";"December";"2016"
"12";"Bombing";"0";"7";"Turbat, Pakistan";"Nine people were injured on Monday when suspected militants attacked the office of National Party (NP) in Balochistan's Turbat district, police officials said.[54]";"Lashkar-e-Jhangvi (suspected)";"";"December";"2016"
"12";"Bombing";"3";"2";"Shinkay District, Afghanistan";"A bomb kills 3 civilians and another 2 were wounded in Zabul Province.[55]";"Fidai Mahaz (suspected)";"War in Afghanistan";"December";"2016"
"13";"Executions";"16";"0";"Rafah, Egypt";"16 civilians were executed by Islamic State militants.[56]";"Islamic State – Sinai Province";"Sinai insurgency";"December";"2016"
"13";"Attack";"Dozens";"Dozens";"Borno State, Nigeria";"Boko Haram militants attacked a military base in Borno state village of Kamuya leaving scores dead.[57]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"13";"Grenade Attack";"2";"23";"Tumaco, Colombia";"Two people died and 23 were injured when unknown assailants threw a grenade into a bar early Tuesday in Colombia's most southwestern city, Tumaco.[58]";"National Liberation Army (suspected)";"Colombian Conflict";"December";"2016"
"13";"Shooting";"1";"0";"Vraem, Peru";"A policeman died Tuesday during an operation in the town of Apachita in Vraem region.[59]";"Sendero Luminoso";"Internal Conflict in Peru";"December";"2016"
"14";"Executions";"75";"0";"Mosul, Iraq";"75 civilians were executed by Islamic State militants.[60]";"Islamic State";"Iraqi Civil War";"December";"2016"
"14";"Ambush";"3";"9";"Chandel district, India";"At least three policemen killed, nine injured in military ambush. The first ambush occurred at Lokchao, 21 km from the border town of Moreh and the second ambush took place at Bongyang area of the same district.[61]";"Nationalist Socialist Council of Nagaland";"Insurgency in Northeast India";"December";"2016"
"14";"Bombing";"0";"1";"Baghdad, Iraq";"A civilian was wounded on Wednesday when two IEDs exploded in central Baghdad.[62]";"Islamic State";"Iraqi Civil War";"December";"2016"
"14";"Stabbing";"0 (+1)";"3";"East Jerusalem, Israel";"Two police officers, and a 12-year-old boy were stabbed in the head with a screwdriver.[63]";"Lone wolf";"Israeli–Palestinian conflict";"December";"2016"
"14";"Shooting";"2";"Unknown";"Saravena, Colombia";"Two Colombian policemen were killed in an ELN guerrilla attack in the town of Saravena, Arauca department (border with Venezuela), confirmed that institution.[64]";"National Liberation Army";"Colombian Conflict";"December";"2016"
"14";"Shooting";"2(+4)";"1+";"Vraem, Peru";"Two policeman (another was seriously injured)and four other narcoterrorist died after a clash in the Vraem region, known for hosting remnants of Sendero Luminoso and the high traffic of drugs.[65]";"Sendero Luminoso";"Internal Conflict in Peru";"December";"2016"
"14";"Execution";"1";"0";"Kirkuk, Iraq";"The Islamic State execute a young Peshmerga fighter.[66]";"Islamic State";"Iraqi Civil War";"December";"2016"
"15";"Strobe GIF";"0";"1";"Dallas, United States";"An assailant sent a message via Twitter to Kurt Eichenwald, a Newsweek journalist, in Dallas, Texas, United States. The message contained the text \"You deserve a seizure for your posts\" and a GIF image of a strobe. Eichenwald, who has epilepsy, suffered a seizure and was incapacitated for several days. No group claimed responsibility for the incident; however, authorities arrested John Rayne Rivello in connection with the attack.\"[67]";"Lone Wolf";"Terrorism in the United States";"December";"2016"
"15";"Bombing";"5";"Unknown";"Mogadishu, Somalia";"A bombing at a Mogadishu tea shop left at least 5 Somali soldiers dead.[68]";"Al-Shabaab";"War in Somalia";"December";"2016"
"16";"Bombing";"3";"4";"Damascus, Syria";"Three people have been killed in a bomb attack at a police station in the Syrian capital, Damascus.[69]";"Islamic State";"Syrian Civil War";"December";"2016"
"16";"Suicide Car Bombing";"0";"5";"Mogadishu, Somalia";"At least five people have been wounded Thursday in a suicide car bomb attack targeting a Mogadishu restaurant regularly frequented by journalists, according to authorities and eyewitnesses.[70]";"Al-Shabaab";"War in Somalia";"December";"2016"
"16";"Shooting";"12";"Unknown";"Nassoumbou, Burkina Faso";"2016 Nassoumbou attack: Several dozen heavily armed gunmen attacked an army outpost near the border with Mali, leaving at least 12 soldiers dead and 2 others missing.[71]";"Ansar ul Islam";"Insurgency in the Maghreb";"December";"2016"
"16";"Shooting";"1";"0";"Kabul Province, Afghanistan";"Insurgents from Taliban group killed one in Kabul Province.[72]";"Taliban";"War in Afghanistan";"December";"2016"
"16";"Shooting";"1";"0";"Logar Province, Afghanistan";"Terrorist shoot dead one in Logar Province.[73]";"Al-Qaeda (suspected)";"War in Afghanistan";"December";"2016"
"17";"Shooting";"6";"0";"Kandahar, Afghanistan";"Five female security staff and their driver were killed by unknown gunmen near Kandahar Airport.[74]";"Lashkar-e-Jhangvi (suspected)";"War in Afghanistan";"December";"2016"
"17";"Suicide car bombing";"14 (+1)";"55";"Kayseri, Turkey";"2016 Kayseri bombing: A suspected car bombing killed 14 soldiers aboard a bus and wounded at least 55 others.[75]";"Kurdistan Freedom Falcons";"Kurdish–Turkish conflict";"December";"2016"
"17";"Shooting";"1 (+4)";"0";"Grozny, Russia";"Four militants attacked a policeman, seized his car, and ran over another policeman who tried to stop the vehicle, killing him.[76][77] Other police officers opened fire at the militants and liquidated them.[78]ISIL claimed responsibility for the attack.[79]";"ISIL";"Islamic terrorism in Europe";"December";"2016"
"17";"Shooting";"0 (+Unknown)";"1";"Sambisa Forest, Nigeria";"A member of the civilian Joint Task Force (JTF) was injured during operations against Boko Haram.[80]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"17";"Shooting";"8";"Unknown";"Lake Chad, Nigeria";"Eight African Coalition Forces were killed by Boko Haram militants.[81]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"17";"Shooting";"3";"Unknown";"Pampore, India";"Insurgents killed at least 3 soldiers in Pampore.[82]";"Lashkar-e-Taiba (suspected)";"Insurgency in Jammu and Kashmir";"December";"2016"
"17";"Shooting";"6";"";"Kandahar, Afghanistan";"Shooting left at least six people dead.[83]";"Fidai Mahaz (suspected)";"War in Afghanistan";"December";"2016"
"17";"Suicide car bomb";"Unknown";"Unknown";"Mosul, Iraq";"An Islamic State suicide bomber carries out a car bomb attack on Iraqi forces.[84]";"Islamic State";"Iraqi Civil War";"December";"2016"
"18";"Bombing";"6";"Unknown";"Qoryoley, Somalia";"A rocket-propelled grenade was on Sunday launched on a civilian minibus in southern Somalia, killing six people, in Lower Shebelle.[85]";"Al-Shabaab";"War in Somalia";"December";"2016"
"18";"Suicide bombing";"52+ (+1)";"63";"Aden, Yemen";"December 2016 Aden suicide bombings: At least 52 Yemeni soldiers collecting their salaries at a base in northeast Aden were killed when a suicide bomber detonated.[86]";"Islamic State – Yemen Province";"Yemeni Civil War";"December";"2016"
"18";"Shooting";"16 (+5)";"37";"Al-Karak, Jordan";"2016 Al-Karak attack: Insurgents attacked police and civilians in Al-Karak, Jordan, then took shelter in the Kerak Castle. 12 people were killed and 35 were injured, most of whom were Jordanian security forces and civilians. A Canadian tourist was also killed.[87]";"Islamic State";"Spillover of the Syrian Civil War in Jordan";"December";"2016"
"18";"Car bombs";"7 (+1)";"8";"Benghazi, Libya";"At least seven people were killed and eight wounded when a suicide bomber targeted forces loyal to Libya's eastern government in Benghazi.[88]";"Islamic State – Libya Province";"Second Libyan Civil War";"December";"2016"
"18";"Car Bombing";"1";"0";"al-Bab, Syria";"A car bombing attack kills one soldier from Turkey in al-Bab city.[89]";"Islamic State";"Syrian Civil War";"December";"2016"
"18";"Execution";"1";"0";"Homs, Syria";"An Islamic State militant beheads an Afghan militiaman working with the SAA at the T4 Military Airport near Homs, Syria.[90]";"Islamic State";"Syrian Civil War";"December";"2016"
"18";"Shooting";"3";"3";"Kabul, Afghanistan";"Insurgent shoot dead 3 people and another 3 were injured.[91]";"Al-Qaeda (suspected)";"War in Afghanistan";"December";"2016"
"18";"Shooting";"2";"Unknown";"Arauca, Colombia";"Two soldiers were shot dead in an attack perpetrated by members of the ELN, close of the location of Arauca, in the Northern.[92]";"National Liberation Army";"Colombian Conflict";"December";"2016"
"19";"Bombing";"1";"22";"Kunduz, Afghanistan";"A bomb killed 1 and another 22 were injured in Kunduz.[93]";"Lashkar-e-Jhangvi";"War in Afghanistan";"December";"2016"
"19";"Bombing";"2";"0";"Dera Bugti District, Pakistan";"2 people die in bombing attack.[94]";"Al-Qaeda (suspected)";"Insurgency in Balochistan";"December";"2016"
"19";"Shooting";"3";"4";"Luhansk, Ukraine";"Three Ukrainian soldiers were killed and four others wounded in a new clash with units of the People's Militia (MP) of the self-proclaimed People's Luhansk People's Republic (RPL), which took place in the area of Debáltsevo, RIA Novosti MP of the RPL, Andrei Marochko.[95]";"Luhansk People's Republic";"War in Donbass";"December";"2016"
"19";"Shooting";"1 (+5)";"2 (+?)";"Butembo, Democratic Republic of Congo";"Mai Mai militiamen on Monday morning killed a UN peacekeeper during an attack on Butembo town in North Kivu province, in the eastern part of the Democratic Republic of Congo (DRC). Two peacekeepers were also injured in the attack while five militia fighters were also killed and two others captured, according to police.[96]";"Mai-Mai militants";"Kivu Conflict";"December";"2016"
"19";"Assassination";"1 (+1)";"3";"Ankara, Turkey";"Assassination of Andrei Karlov: A gunman killed Russian ambassador in Turkey and three bystanders were also injured.[97] According to the Egyptian newspaper Al-Youm Al-Sabea, the Army of Conquest claimed responsibility for the assassination.[98]";"Army of Conquest";"Spillover of the Syrian Civil War in Turkey";"December";"2016"
"19";"Bombing";"3";"2";"Bolivar, Venezuela";"At least three minors belonging to the indigenous community E'ñepá were killed after being hit by the explosion of a fragmentary grenade in the town of Caicara del Orinoco, located in the municipality Cedeño northeast of Bolívar. The explosion of the object also left two wounded, identified as Juana Torres Luciani of 19 years and a minor of 8 years.[99]";"Unknown";"Venezuelan protests";"December";"2016"
"19";"Bombing";"1";"8";"Baghdad, Iraq";"Bombings killed 1 and another 8 were injured.[100]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2016"
"19 – 23";"Vehicular attack, stabbing, and shooting";"12 (+1)";"56";"Berlin, Germany";"2016 Berlin attack: 12 people have died after a truck ploughed into a Christmas market in Berlin, German police have said. The Islamic State claimed responsibility for the attack.[101][102] On 21 December, police announced a nationwide search for a specific suspect, after personal documents of a Tunisian man, apparently a notice for temporary stay in Germany, were found in the lorry's cab. Later that day the police announced that it had been stepped up to a Europe-wide search. According to investigators, the suspect entered Germany from Italy in 2015 and belonged to a Salafist network with the name True Religion, around recently interred Abu Walaa, who was known as a recruiter for the Islamic State in Germany.[103] The perpetrator was found by police in Milan, Italy four days later and was killed in a shootout with police. One officer was wounded.[104]";"Islamic State";"Islamic terrorism in Europe";"December";"2016"
"20";"Kidnapping";"0";"0";"Sulu, Philippines";"Four fishing boat crew were reportedly abducted off Sulu.[105]";"Abu Sayyaf";"Moro conflict";"December";"2016"
"20";"Shooting";"0";"0";"Ankara, Turkey";"An assailant opened fire outside the United States embassy in Ankara, Turkey. There were no reported casualties in the attack, and the assailant was arrested at the scene. No group claimed responsibility for the incident.[106]";"Unknown";"";"December";"2016"
"20";"Shooting";"1";"0";"Bosasso, Somalia";"A shooting by Al Shabaab terrorist group left one dead in Puntland.[107]";"Al-Shabaab";"War in Somalia";"December";"2016"
"21";"Bombings";"7";"Unknown";"Iraq";"A twin bomb attack on the headquarters of an Iranian Kurdish party based in northern Iraq has killed seven people.[108]";"Army of the Guardians of the Islamic Revolution (suspected)";"Iraqi Civil War";"December";"2016"
"21";"Shooting";"2";"0";"Raqqa, Syria";"A Canadian and a Briton were killed by Islamic State of Iraq and the Levant near Raqqa.[109][110]";"Islamic State";"Syrian Civil War";"December";"2016"
"21";"Shooting";"8";"6";"Helmand Province, Afghanistan";"Eight people are killed and another six were injured in a Taliban attack on Afghan Member of Parliament Mir Wali's home in Helmand Province.[111][112]";"Taliban";"War in Afghanistan";"December";"2016"
"22";"Shooting";"1";"2+";"Macina, Mali";"Six gunmen on motorcycles attacked Saye's military soldier and shot the gendarmes on the scene, one soldier was killed and several were wounded.[113]";"Macina Liberation Front";"Northern Mali conflict";"December";"2016"
"22";"Suicide car bombings";"23 (+3)";"Unknown";"Mosul, Iraq";"Three suicide car bombings kills at least 23 people in Mosul.[114]";"Islamic State";"Iraqi Civil War";"December";"2016"
"22";"Clash";"16";"Unknown";"Al-Bab, Syria";"Part of Battle of al-Bab: the death toll of Turkish soldiers in Syria's Al-Bab has increased to 16, Defense Minister Fikri Isik said on Thursday.[115]";"Islamic State";"Syrian Civil War";"December";"2016"
"22";"Attack";"(+1)";"3";"Cesar, Colombia";"At least three Policemen were injured in an ELN guerrilla attack in the department of Cesar (north), which also killed a guerrilla.[116]";"National Liberation Army";"Colombian Conflict";"December";"2016"
"22";"Executions";"2";"0";"Aleppo, Syria";"Two Turkish soldiers were burned to death in the Aleppo countryside.[117]";"Islamic State";"Syrian Civil War";"December";"2016"
"23";"Hijacking";"0";"0";"Luqa Malta";"Afriqiyah Airways Flight 209: A commercial jet that took of from Libya was reportedly hijacked by individuals with explosives. The plane has landed in Malta. The hijackers were pro-Gaddafi militants and belonged to the Brigade 93 militant group and demanded the recognition of their group.[118]";"Brigade 93";"Second Libyan Civil War";"December";"2016"
"23";"Shooting";"7";"6";"Daynunay, Somalia";"Insurgents shoot dead seven and another six were injured.[119]";"Al-Shabaab";"War in Somalia";"December";"2016"
"23";"Stabbing";"0";"1";"Beit Aryeh-Ofarim, Israel";"A 50-year-old man was lightly wounded in a stabbing attack outside his home in the West Bank.[120]";"Lone wolf";"Israeli–Palestinian conflict";"December";"2016"
"23";"Execution";"3";"0";"Raqqa, Syria";"Islamic State executed a man in Syria's northeastern Raqqa city on charges of smuggling citizens to areas beyond the group's contro and two Western soldiers in Syria's northeastern Raqqa city.[121][122]";"Islamic State";"Syrian Civil War";"December";"2016"
"23";"Car bombs";"30+";"Unknown";"Mosul, Iraq";"Car bombs have killed more than 30 people.[123]";"Islamic State";"Iraqi Civil War";"December";"2016"
"24";"Attack";"11";"1";"Farah, Afghanistan";"At least 11 policemen were killed.[124]";"Taliban";"War in Afghanistan";"December";"2016"
"24";"Attack";"4";"1";"Qalat, Afghanistan";"Insurgents kills 4 policemen.[125]";"Taliban";"War in Afghanistan";"December";"2016"
"24";"Shooting";"1";"1";"Arauca, Colombia";"One soldier was killed and another wounded in a shootout of suspected guerrillas from the National Liberation Army (ELN, guevarista) in a rural area of the department of Arauca, eastern Colombia, was officially reported Saturday.[126]";"ELN";"Colombian Conflict";"December";"2016"
"24";"Kidnapping";"0";"1";"Gao, Mali";"A Frenchwoman was abducted in the city of Gao.[127]";"Al-Qaeda in the Islamic Maghreb (suspected)";"Northern Mali Conflict";"December";"2016"
"24";"Bombing";"1";"4";"Diyala Governorate, Iraq";"Insurgents kills one policemen and another four were injured.[128]";"Islamic State";"Iraqi Civil War";"December";"2016"
"24";"Bombings";"10";"26";"Mosul, Iraq";"10 people were killed in a series of attacks in Mosul.[129]";"Islamic State";"Iraqi Civil War";"December";"2016"
"24";"Bombing";"0";"16";"Midsayap, Philippines";"At least 16 people, including a police officer, were injured in a blast outside a Catholic church in the southern Philippines.[130]";"Abu Sayyaf (suspected)";"Moro conflict";"December";"2016"
"25";"Shooting, stabbing";"13";"0";"North Kivu, Democratic Republic of the Congo";"At least 13 people were killed in shooting and stabbing by insurgents in the Democratic Republic of the Congo.[131]";"Mai-Mai (suspected)";"Kivu conflict";"December";"2016"
"25";"Bombings";"11";"34";"Baghdad, Iraq";"Separate bombings in and around Baghdad have killed at least 11 civilians and wounded 34 others.[132]";"Islamic State";"Iraqi Civil War";"December";"2016"
"25";"Suicide bombing";"2 (+1)";"5";"Mora, Cameroon";"A suicide bombing attack left at least 2 people dead and injured 5 others in Mora.[133]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"25";"Bombing";"2";"0";"Laghman Province, Afghanistan";"A roadside bomb has killed at least two civilians in Afghanistan's eastern Laghman Province.[134]";"Islamic State – Khorasan Province (suspected)";"War in Afghanistan";"December";"2016"
"26";"Suicide bombing";"1";"Unknown";"Lashkargah, Afghanistan";"A suicide bombing attack killed one police in Lashkargah.[135]";"Taliban";"War in Afghanistan";"December";"2016"
"26";"Bombings";"2";"6";"Baghdad, Iraq";"A bomb killed 1 and 6 others were injured in Kasra district. A blast left 1 dead.[136]";"Islamic State";"Iraqi Civil War";"December";"2016"
"26";"Attack";"30";"0";"al-Bab, Syria";"Islamic State kills at least 30 people in al-Bab.[137]";"Islamic State";"Syrian Civil War";"December";"2016"
"26";"Suicide bombing";"0 (+1)";"Unknown";"Maiduguri, Nigeria";"Two suicide bombers struck in Maiduguri.Only one of the attackers was said to have died, as the other was reportedly captured before striking.[138]";"Boko Haram";"Boko Haram insurgency";"December";"2016"
"27";"Execution";"7";"0";"Mosul, Iraq";"Islamic State group executed seven civilians for collaborating with security forces.[139]";"Islamic State";"Iraqi Civil War";"December";"2016"
