"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Suicide bombing";"20";"29";"Kabul, Afghanistan";"2016 Kabul suicide bombing: A suicide bomber blew himself within a queue at the entrance of the headquarters of the Afghan National Civil Order Police in Kabul. The blast killed at least 20 people and another 29 were injured. Taliban claimed responsibility.[1]";"Taliban";"War in Afghanistan";"February";"2016"
1;"Bombing";"7";"5";"Hit, Iraq";"children are among those eliminate by two mujahideen bomb blast. 7 dead 5 injured.";"Islamic State";"Iraqi Civil War";"February";"2016"
1;"beheading";"3";"0";"Manbij, Syria";"three brothers are beheaded by the Islamic state.";"Islamic State";"Syrian Civil War";"February";"2016"
2;"Bombing";"0 (+1)";"2";"Somalia";"Daallo Airlines Flight 159: 20 minutes after take-off, a passenger in Daallo Airlines Flight 159, detonated an explosive device in the Airbus A321, opening a hole in the fuselage behind the R2 door. The crew turned the plane around and successfully performed an emergency landing at Mogadishu's Aden Adde International Airport. Two injuries were reported and another body, believed to be that of the perpetrator was found on the ground in Somalia.";"al-Shabaab";"War in Somalia";"February";"2016"
3;"Shooting, melee attack";"1 (+3)";"2";"Jerusalem, Israel";"Three Palestinians from Jenin, armed with rifles, knives and IEDs and were stopped by Magav policewoman in Nablus gate, Jerusalem when one of them pulled a gun shot her and other policemen, killing one policewoman and wounding another two. The assailants were all shot dead by other security forces in the area. No group claimed responsibility.[2]";"Palestinian lone wolf";"Israeli–Palestinian conflict";"February";"2016"
3;"Artillery";"15";"58";"Daraa, Syria";"Syrian rebel group fired rockets on residential neighbourhoods in Daraa, Syria. At least 15 civilians were killed and another 58 were wounded, including 8 in serious condition. No specific group claimed responsibility.[3]";"Syrian rebel group";"Syrian Civil War";"February";"2016"
4;"Car bombings";"28";"Unknown";"Fallujah and Ramadi, Iraq";"A car bomb a barracks in Fallujah and another car bomb at a government base in Ramadi killed 28 troops all together. Both cities were sieged by ISIS at the time.[4]";"Islamic State";"Iraqi Civil War";"February";"2016"
5;"Car bombing";"3";"Unknown";"Aden Adde International Airport, Somalia";"A car bomb was detonated in Aden Adde International Airport, killing two men and one woman and injuring several others. The attack is believed to have targeted a Somali airport official, who went unharmed. No group claimed responsibility but Al-Shabaab is suspected.[5]";"Al-Shabaab (suspected)";"War in Somalia";"February";"2016"
5;"Attack";"1 (+4)";"Unknown";"Timbuktu, Mali";"Militants attacked a MINUSMA police base in northern Malian city of Timbuktu and captured it for a brief time until it was recaptured by Malian troops backed by UN helicopters. A Malian commender and four militants were killed. al-Qaeda in the Islamic Maghreb claimed responsibility.[6]";"al-Qaeda in the Islamic Maghreb";"Northern Mali conflict";"February";"2016"
6;"Suicide bombing";"9";"34";"Quetta, Pakistan";"A suicide bomber blew himself at a security forces vehicle in Quetta, killing nine people, including two Frontier Corps (FC) personnel and wounding another thirty-four. Tehreek-i-Taliban Pakistan claimed responsibility.[7]";"Tehreek-i-Taliban Pakistan";"War in North-West Pakistan";"February";"2016"
