"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Car bomb";"2";"23";"Gaziantep, Turkey";"May 2016 Gaziantep bombing: Two policeman was killed and twenty-two others (four being civilians) were wounded after a car bomb exploded out a police headquarters in Gaziantep.[1]";"Islamic State";"Turkey–ISIL conflict";"May";"2016"
1;"Rocket attack";"0";"7";"Kilis, Turkey";"Seven people were wounded when three rockets fired from an area in Syria controlled by Islamic State jihadists crashed into the centre of Kilis.[2]";"Islamic State";"Turkey–ISIL conflict";"May";"2016"
1;"Suicide Car Bombings";"38 (2)";"86";"Samawa, Iraq";"several children are among over three dozen dead after two suicide car bombs blast go off in different areas.";"Islamic State";"Iraqi Civil War";"May";"2016"
1;"Suicide Bombing";"22 (1)";"10";"Runirgood, Somalia";"twenty-two defenders of a small town are killed during an al-shabaab attack that started out with a suicide bomber.";"Al-Shabaab";"War in Somalia";"May";"2016"
1;"Beheaded";"4";"0";"Raqqa, Syria";"four teenagers are beheaded by the Islamic state";"Islamic State";"Syrian Civil War";"May";"2016"
1;"Suicide bombing";"5";"Unknown";"Aden, Yemen";"A suicide bomber attacked the security chief's motorcade in the southern port city, killing five of his bodyguards.[3]";"Islamic State";"Yemeni Civil War";"May";"2016"
1;"Attack, suicide car bombing";"22 (+12)";"Unknown";"Runirgod, Somalia";"Militant group Al-Shabaab attacked and recaptured a town in Somalia's Middle Shebelle region killing 22 Somali soldiers. The militants used a suicide car bomb in the assault and seized at least three military vehicles.[4]";"Al-Shabaab";"War in Somalia";"May";"2016"
1;"Suicide bombing";"33+ (+2)";"75";"Samawa, Iraq";"2016 Samawa bombing[5]";"Islamic State";"Iraqi Civil War";"May";"2016"
2;"Bombing";"1";"8";"Baghdad, Iraq";"[6]";"Islamic State";"Iraqi Civil War";"May";"2016"
2;"Suicide car bombing";"18+ (+1)[7]";"45";"Baghdad, Iraq";"Sixteen Shiite pilgrims were killed and 43 others wounded in a suicide car bomb explosion in Baghdad.[8]";"Islamic State";"Iraqi Civil War";"May";"2016"
2;"Suicide car bombing";"1";"23";"Diyarbakir, Turkey";"One soldier was killed and 23 people were injured in a suicide car bomb against the security forces in Diyarbakir.[9]";"PKK";"PKK rebellion";"May";"2016"
2;"Melee attack";"0";"1";"Jerusalem, Israel";"Palestinian man stabbed an old Jewish man at the Lions' Gate in the Old City of Jerusalem. The assailant fled the scene and was later caught and admitted he carried out the attack.[10]";"Palestinian lone wolf";"Israeli–Palestinian conflict";"May";"2016"
2;"Vehicular attack";"0 (+1)";"3";"Dolev, West Bank";"Three Israelis were wounded in a car-ramming attack near Dolev settlement in the West Bank. The driver of the vehicle was shot and killed.[11]";"Palestinian lone wolf";"Israeli–Palestinian conflict";"May";"2016"
2;"Shooting";"17";"0";"Mosul, Iraq";"[12]";"Islamic State";"Iraqi Civil War";"May";"2016"
2;"Rocket attack, chemical attack";"0";"2";"Bashir, Iraq";"[13]";"Islamic State";"Iraqi Civil War";"May";"2016"
2;"Shooting";"2";"0";"Hakkâri Province, Turkey";"Two soldiers were killed when outlawed PKK attacked a military station zone in the Semdinli district of the southeastern province of Hakkâri Province.[14]";"PKK";"PKK rebellion";"May";"2016"
3;"Melee attack";"38+";"Unknown";"Beni, Democratic Republic of Congo";"At least 38 people were killed by suspected rebels ADF in the city of Beni in North Kivu.[15][16]";"Allied Democratic Forces (suspected)";"Kivu conflict";"May";"2016"
3;"Bombing";"0";"3";"Baghdad, Iraq";"[17]";"Unknown";"Iraqi Civil War";"May";"2016"
3;"Bombing";"2";"8";"Baghdad, Iraq";"[18]";"Unknown";"Iraqi Civil War";"May";"2016"
3;"Shooting";"1";"0";"Iraq";"A U.S. Navy SEAL was killed in Iraq after Islamic State attacked a Peshmerga base. Roughly 100 ISIL fighters have break through a checkpoint at the frontline and drove 3 to 5 kilometers to the Peshmerga base. The U.S. responded with F-15's and drones that dropped more than 20 bombs.[19]";"Islamic State";"Iraqi Civil War";"May";"2016"
3;"Bombing";"1";"0";"Kirkuk, Iraq";"[20]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Bombing";"1";"5";"Baghdad, Iraq";"[21]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Shooting";"1";"2";"Baghdad, Iraq";"[22]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Bombing";"1";"5";"Baghdad, Iraq";"[23]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Bombing";"1";"7";"Baghdad, Iraq";"[24]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Attack";"15";"Unknown";"Khween Village, Syria";"Four children are among fifteen civilians murdered by Jabhat al-Nusra.[25]";"Jabhat al-Nusra";"Syrian Civil War";"May";"2016"
4;"Bombing";"4";"2";"Kirkuk, Iraq";"[26]";"Islamic State";"Iraqi Civil War";"May";"2016"
4;"Car bombing";"0";"1";"Baghdad, Iraq";"[27]";"Unknown";"Iraqi Civil War";"May";"2016"
5;"Car bombing";"1";"10";"Mardin, Turkey";"PKK used a car laden with explosives to attack a gendarmerie station in Turkey's Mardin. Initial reports from the scene said that 1 soldier has died and 10 others have been wounded.[28]";"PKK";"PKK rebellion";"May";"2016"
5;"Suicide car bombing, suicide motorbike bombing";"12+ (+2)";"45-60+";"Homs, Syria";"At least 12 people have been killed and 45 injured, some of them seriously, in twin suicide blasts in the Syrian city of Homs, a car and a motorcycle exploded in the Mukharram al-Fawqani area in the eastern part of the city.[29]";"Fedayeen";"Syrian Civil War";"May";"2016"
5;"Rocket attack";"1";"8-9";"Kilis, Turkey";"A child died and eight other people were injured after rockets fired from the Islamic State of Iraq and the Levant-controlled territory in Syria hit the south-central Turkish Kilis province[30]";"Islamic State";"Turkey–ISIL conflict";"May";"2016"
5;"Shooting";"25";"0";"Mosul, Iraq";"[31]";"Islamic State";"Iraqi Civil War";"May";"2016"
5;"Shooting";"0";"1";"Baghdad, Iraq";"[32]";"Unknown";"Iraqi Civil War";"May";"2016"
5;"Bombing";"5";"14";"Iskandariya, Iraq";"[33]";"Unknown";"Iraqi Civil War";"May";"2016"
5;"Bombing";"2";"9";"Baghdad, Iraq";"[34]";"Unknown";"Iraqi Civil War";"May";"2016"
5;"Bombing";"1";"6";"Baghdad, Iraq";"[35]";"Unknown";"Iraqi Civil War";"May";"2016"
5;"Shooting and bombing";"5";"0";"Misrata, Libya";"Five Libyan soldiers have been killed in an ISIL attack in the northwestern city of Misrata.[36]";"Islamic State";"Second Libyan Civil War";"May";"2016"
5;"Shooting";"1";"0";"Raqqa, Syria";"[37]";"Islamic State";"Syrian Civil War";"May";"2016"
5;"Bombing";"5";"5";"Qadis, Afghanistan";"An Afghan official said a roadside bombing killed five civilians and wounded five others in a remote northwestern province.[38]";"Taliban (suspected)";"War in Afghanistan";"May";"2016"
6;"Shelling";"5";"11";"Benghazi, Libya";"Five people were killed and 11 wounded on Friday when shells hit a political rally in the centre of Libya's second city Benghazi.";"Islamic State";"Second Libyan Civil War";"May";"2016"
6;"Bombing";"1";"9";"Baghdad, Iraq";"[39]";"Unknown";"Iraqi Civil War";"May";"2016"
6;"Bombing";"7";"15";"Ma'rib, Yemen";"Seven people were killed and more than 15 wounded by a bomb in the Yemeni city Ma'rib, east of the capital Sana'a.[40]";"Unknown";"Yemeni Civil War";"May";"2016"
6;"Bombing";"0";"8";"Bujumbura, Burundi";"Eight people were injured by a grenade explosion, in the north of Bujumbura,[41]";"Unknown";"Burundian unrest";"May";"2016"
6;"Melee attack";"3";"0";"Biane, Democratic Republic of Congo";"At least four people were killed by suspected rebels ADF in the city of Biane.[42]";"ADF (suspected)";"Ituri conflict";"May";"2016"
7;"Shooting";"2 (+2)";"1";"Kandahar, Afghanistan";"Gunmen wearing Afghan military uniforms shot dead two Romanian soldiers in the country's south on Saturday, officials said,[43]";"Taliban";"War in Afghanistan";"May";"2016"
7;"Gas attack";"3";"Hundreds";"Kahrez, Iraq";"A chlorine gas rocket attack killed 3 and injured hundreds.[44]";"ISIL";"Iraqi Civil War";"May";"2016"
7;"Mass execution, genocide";"160+";"Unknown";"Ramadi, Iraq";"The remains of over 160 people were found in over 50 mass graves after ISIS committed a mass execution and genocide.[45]";"ISIL";"Iraqi Civil War";"May";"2016"
7;"Bombing";"4";"1";"Zabul, Afghanistan";"At least four children lost their lives and another sustained injuries in a powerful bomb explosion in a rural area in Afghanistan's southern province of Zabul.[46]";"Taliban";"War in Afghanistan";"May";"2016"
8;"Bombing";"2";"12";"Bujumbura, Burundi";"A grenade was thrown in a small market. Its explosion killed two saleswoman and injured twelve others [41]";"Unknown";"Burundian unrest";"May";"2016"
