"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Car bombing";"9";"Unknown";"Gubio, Nigeria";"Nine civilians were killed when a car bomb exploded near a military checkpoint in Northern Nigeria.[1]";"Boko Haram";"Boko Haram insurgency";"November";"2016"
"1";"Assassination";"1";"0";"Wah Cantonment, Pakistan";"A member of Lashkar-e-Jhangvi attacked a Shia notable of Wah Cantonment area leaving him shot dead.[2]";"Lashkar-e-Jhangvi";"Sectarianism in Pakistan";"November";"2016"
"1";"Shooting";"6";"2";"Kitevya, Democratic Republic of Congo";"Six people are dead in an attack by suspected Ugandan rebels of the ADF in Kitevya (Beni Territory, North Kivu). Two other people were also injured.[3]";"ADF (suspected)";"Allied Democratic Forces insurgency";"November";"2016"
"1";"Bombing";"7";"0";"Parwan Province, Afghanistan";"A bomb killed seven people in Parwan Province.[4]";"Taliban";"War in Afghanistan";"November";"2016"
"2";"Execution, shooting";"52";"Unknown";"Mosul, Iraq";"Part of Battle of Mosul (2016) : The Islamic State militants shoot dead 52 people in a public school located in the east of the city of Mosul, a day after Iraqi troops entered the city on the eastern front.[5]";"Islamic State";"Iraqi Civil War";"November";"2016"
"2";"Kidnapping";"0";"1 kidnapped";"Traghan, Libya";"The mayor of the Libyan town of Traghan (center), Mohamed Tahir Bakuri, has been kidnapped Wednesday by gunmen on a farm property located on the outskirts of the city.[6]";"Separatists (suspected)";"Libyan Civil War";"November";"2016"
"2";"Shooting";"25";"Unknown";"Bambari, Central African Republic";"The provisional balance of the last two days of fighting in Bambari, a city 250 kilometers northeast of Bangui, capital of the Central African Republic, is 25 dead.[7]";"Seleka (suspected)";"Central African Republic Civil War";"November";"2016"
"2";"Bombing";"2";"4";"Burte-Mangate, Somalia";"Two Kenyan soldiers were killed and four others injured in a bomb attack.[8]";"Al-Shabaab";"War in Somalia";"November";"2016"
"2-3";"Attack";"3";"Unknown";"Pattani, Thailand";"Coordinated bomb-and-gun attacks in Thailand’s strife-torn southern region have left at least three people dead . The attacks late on 2 November and early the next day appeared to be in retaliation for stepped-up security operations taken against insurgents and weren’t aimed at the monarchy.[9]";"Islamists";"South Thailand Insurgency";"November";"2016"
"3";"Shooting, bombing";"2";"10+";"Minusma, Mali";"A peacekeeper was killed and five others were injured when militants attacked a military base.After the shooting,a bomb exploded,killing one soldier and injuring dozens more[10]";"AQIM";"Northern Mali conflict";"November";"2016"
"3";"Shooting";"0";"1";"Tulkarm, West Bank";"An Israeli soldier was lightly injured in a shooting near Tulkarm.[11]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"November";"2016"
"3";"Ambush";"1";"0";"Duk, South Sudan";"A senior relief official in Duk County in South Sudan’s Jonglei State was killed in an ambush by unknown gunmen along the Panyagoor-Duk road a local official said.[12]";"Unknown";"South Sudanese Civil War";"November";"2016"
"3";"Shooting";"1";"Unknown";"Rakhine State, Myanmar";"An official was killed in an attack by armed men at a police post in Nurula, Rakhine, an incident that increases tensions in that state of Myanmar, local press reports. The assailants, moving on three motorcycles, used small firearms and were forced to withdraw, according to sources.[13]";"Unknown";"Rohingya insurgency in Western Myanmar";"November";"2016"
"3";"Attack";"5";"0";"Kunduz, Afghanistan";"Insurgents kills at least 5 special forces, 3 from Afghanistan and 2 others from United States.[14]";"";"War in Afghanistan";"November";"2016"
"4";"Shooting";"1";"Several";"Mali";"A Chadian peacekeeper was killed and eight others were injured,in a terrorist attack[15]";"AQIM";"Northern Mali conflict";"November";"2016"
"4";"Shoot-down";"Unknown";"Unknown";"Homs, Syria";"Islamic State announced responsibility for shooting down a Russian warplane in Syria’s central governorate of Homs.[16]";"Islamic State";"Syrian Civil War";"November";"2016"
