"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Bombings";"4";"12";"Baghdad, Iraq";"A bombing in northwest Baghdad left two people dead and eight people injured.[1] A separate bombing later in the day killed two more people and injured four.[2]";"Unknown";"Iraqi Civil War";"September";"2016"
"1";"Bombing";"2 (+6)";"2";"Charkh, Afghanistan";"A suicide bomber killed two people at a government compound.[3] At least six militants were also killed.[citation needed]";"Taliban";"War in Afghanistan";"September";"2016"
"1";"Executions";"9";"0";"Mosul, Iraq";"Islamic state cuts nine Iraqi youths bodies in half with an electric chainsaw.[4]";"Islamic State";"Iraqi Civil War";"September";"2016"
"1";"Land mine";"0";"1";"Stanytsia-Luhanska, Ukraine";"One Ukrainian serviceman was wounded in a landmine blast near Stanytsia-Luhanska.[5]";"Luhansk People's Republic";"War in Donbass";"September";"2016"
"2";"Shooting";"2";"0";"Markoye, Burkina Faso";"The Sahara branch of the Islamic State killed a border guard and a civilian.[6]";"Islamic State";"Insurgency in the Maghreb";"September";"2016"
"2";"Arson attack";"1";"2";"Lushoto, Tanzania";"One person has been killed and two others have been seriously injured after men purposely set a church-owned university in Tanzania on fire.[7][8]";"Islamic extremist";"";"September";"2016"
"2";"Bombing, shooting";"12 (+2)";"52";"Mardan, Pakistan";"A suicide bomber blew himself up outside a courthouse in northern Pakistan, killing 11 people and injuring another 52. Almost simultaneously, north of Mardan, militants stormed a Christian village, killing one person.[9]";"Taliban";"War in Northwest Pakistan";"September";"2016"
"2";"Melee attack";"0 (+1)";"2";"Vincennes, France";"A 29-year-old attacker injured a nurse and police were called to the scene, upon which a policewoman was seriously injured. The perpetrator was shot dead by another officer and the incident is being described as a 'terrorist incident'.[10]";"Lone wolf";"Wave of Terror in Europe";"September";"2016"
"2";"Rockets attack, bombings";"15";"50+";"Baghdad, Iraq";"A series of attacks left 15 dead and over 50 injured.[11] Several rockets hit residential areas and a weapons munition storage killing 5 and wounding 15. Four separate bombings in and around Baghdad killed a further ten and injured at least 35 others";"Unknown";"Iraqi Civil War";"September";"2016"
"2";"Bombing";"15";"70";"Davao City, Philippines";"2016 Davao City bombing: At least fifteen people were killed and sixty more injured after a bomb exploded at a night market.[12][13][14]";"Islamic State";"Moro conflict";"September";"2016"
"3";"Shooting";"2";"0";"Sofala, Mozambique";"Gunmen of the rebel movement Renamo murdered a local government official and a \"regulo\" (traditional chief) in Nhamantanda district in Sofala, Mozambique.[15]";"RENAMO";"RENAMO insurgency";"September";"2016"
"3";"Shooting";"0";"4";"Nagaland, India";"At least four Assam Rifles were injured after a group of heavily armed NSCN (K) militants ambushed a convoy of security forces in the remote zunheboto district of Nagaland, authorities said Saturday.[16]";"NSCNK";"Ethnic conflict in Nagaland";"September";"2016"
"3";"Bombing";"1";"3";"Khokpo, Thailand";"A remote-controlled bomb placed under the last carriage of the Sungai Kolok-Hat Yai train exploded when the train was crossing the railway station of Khokpo, killing one railway employee and injuring three others including one defense volunteer and two civilians.[17]";"Unknown";"South Thailand insurgency";"September";"2016"
"3";"Execution";"17";"0";"Mosul, Iraq";"Islamic State executed 17 of its members for fleeing a gun battle.[18]";"Islamic State";"Iraqi Civil War";"September";"2016"
"3";"Suicide bombings, shooting";"6 (+2)";"7";"Khurmatu, Iraq";"Six people were killed and 7 injured after suicide bombing and shooting attacks by two assailants.[19]";"Islamic State";"Iraqi Civil War";"September";"2016"
"3";"Shootdown";"2";"0";"Hama, Syria";"A Syrian army helicopter was shot down by \"terrorists\", killing two people.[20]";"Unknown";"Syrian Civil War";"September";"2016"
"4";"Melee attack";"0";"2";"Osny, France";"A prisoner in a radicalization prevention unit wounded two prison officers. The detainee first assaulted a supervisor with an artisanal weapon. A second supervisor, posted at the entrance to the exercise yard, was also injured when he tried to help his colleague.[21][22]";"Lone wolf";"Wave of Terror in Europe";"September";"2016"
"4";"Bombing";"6";"5+";"Aden, Yemen";"6 people were killed and at least 5 were injured after a roadside bombing.[23]";"Unknown";"Yemeni Civil War";"September";"2016"
"4";"Bombing";"6 (+Unknown)";"Unknown";"Toumour, Niger";"Camel-riding assailants killed 5 people and wounded several more before being repelled by local militias. Houses were also burned.[24]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"4";"Shelling";"4";"2";"Jizan & Najran, Saudi Arabia";"A woman was killed and 2 people were injured after shelling across the border from Yemen. 3 children were also killed.[25]";"Houthi (suspected)";"Yemeni Civil War";"September";"2016"
"4";"Bombing";"15+";"~28";"Aden, Yemen";"At least 15 people were killed and 28 injured after a suspected jihadist bombing in another in a series of attacks.[26]";"Houthi (suspected)";"Yemeni Civil War";"September";"2016"
