"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Suicide bombings";"1 (+4)";"0";"Mora, Cameroon";"A civilian was killed when four Boko Haram suicide bombers blew themself up in the city of Mora, in Cameroon.[1]";"Boko Haram";"Boko Haram insurgency";"July";"2017"
1;"Bombing";"2";"4";"Donetsk region, Ukraine";"Two Ukrainian servicemen were killed and three injured in the Donetsk region. The fatalities were caused by explosion of a mine near Pisky.[2]";"Sparta Battalion (suspected)";"War in Donbass";"July";"2017"
1;"Ambush";"13";"0";"Balkh Province, Afghanistan";"13 pro-government fighters were killed in an ambush, on their way to take part in a security operation in the Chemtal district of northern Balkh Province.[3]";"Taliban";"War in Afghanistan";"July";"2017"
1;"Bombing";"4";"3";"Khyber Agency, Pakistan";"Four people, including one security officer, were killed and three others wounded by a roadside explosion in northwestern Pakistan, near the Afghan border.[4]";"Tehrik-i-Taliban Pakistan (suspected)";"War in North-West Pakistan";"July";"2017"
2;"Suicide Car Bombing, Attempted Car Bombings";"21 (+1)";"15";"Damascus, Syria";"A suicide bomber blew himself up in Damascus, leaving more than 21 dead 15 injured.[5][6][7]";"Ahrar al-Sham (suspected)";"Syrian Civil War";"July";"2017"
2;"Bombing";"2";"6";"Mogadishu, Somalia";"A roadside bomb struck a minibus killing two people and injuring six others in Mogadishu.[8]";"Al Shabaab";"War in Somalia";"July";"2017"
2;"Shooting";"2";"0";"Qala i Naw, Afghanistan";"A man have killed his daughter and her friend and then joined to the Taliban.[9]";"Taliban";"War in Afghanistan";"July";"2017"
2;"Suicide bombing";"19 (+1)";"13";"Ramadi, Iraq";"19 people were killed and 13 injured after a suicide bomber attacked a camp for displaced persons in western Anbar, Iraq.[10]";"Islamic State";"Iraqi Civil War";"July";"2017"
3;"Shooting";"1";"1";"Baghdad, Iraq";"An Iraqi army soldier was killed while another one was wounded when armed attackers shot at their patrol in western Baghdad.[11]";"Islamic State";"Iraqi Civil War";"July";"2017"
3;"Shooting, kidnapping";"9";"30";"Diffa Region, Niger";"Boko Haram Islamist militants killed nine people and abducted dozens more in southern Niger.[12]";"Boko Haram";"Boko Haram insurgency";"July";"2017"
3;"Bombing";"4";"1";"Kandahar Province, Afghanistan";"At least four Afghan civilians have been killed when their vehicle struck a roadside bomb in southern Kandahar province.[13]";"Taliban";"War in Afghanistan";"July";"2017"
3;"Bombing";"1";"3";"Baghdad, Iraq";"One civilian was killed and three others were injured when a bomb blast rocked an area in southern Baghdad.[14]";"Islamic State";"Iraqi Civil War";"July";"2017"
3;"Bombing";"3";"2";"Hawija, Iraq";"Three civilians were killed, two others were injured due to a blast caused by a bomb planted by the Islamic State in Hawija, southwest of Kirkuk.[15]";"Islamic State";"Iraqi Civil War";"July";"2017"
3;"Suicide bombing";"4 (+1)";"10";"Far North Region, Cameroon";"A suicide bomber exploded his bomb in the middle of a group of people, killing four in Homaka, a locality in the Mora subdivision of the Far North region.[16]";"Boko Haram";"Boko Haram insurgency";"July";"2017"
3;"Bombing";"0";"3";"Calamar, Guaviare, Colombia";"At least 3 policemen were wounded after FARC dissidents detonated a low-powered explosive on a street in the Colombian municipality of Calamar, in the jungle department of Guaviare (south), official sources said.[17]";"FARC Dissidents";"Colombian conflict";"July";"2017"
3;"Shooting";"0";"0";"Teorama, Norte de Santander Department, Colombia";"Guerrillas shoot for several minutes the police station of the municipality of Teorama located in the Catatumbo region. Authorities reported that the subversives attacked the uniformed men in the town of Norte de Santander Department.[18]";"Popular Liberation Army";"Colombian conflict";"July";"2017"
4;"Bombing";"3";"10";"Arish, Egypt";"A police officer and two conscripts were killed when their armored vehicle drove past a roadside bomb in the south of El-Arish[19]";"Islamic State";"Sinai insurgency";"July";"2017"
4;"Bombing";"1";"3";"Al-Qatif, Saudi Arabia";"A Saudi policeman was killed and three others injured by an explosive device in a flashpoint Shiite-dominated city.[20]";"Shia militants";"2017 Qatif unrest";"July";"2017"
