"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Car bombing";"1";"5";"Jalalabad, Afghanistan";"One person was killed and five others were injured when a car bomb went off outside the airport in Jalalabad.[1]";"Islamic State";"War in Afghanistan";"June";"2017"
"1";"Shooting";"0";"4";"Larbaa, Algeria";"Four policemen were injured in an attack in Larbaa.[2]";"Islamic State";"Insurgency in the Maghreb";"June";"2017"
"1";"Bombing";"2";"2";"Hit, Iraq";"Four civilians were killed and injured in two separate IED blasts in Hit city, in Anbar province.[3]";"Islamic State";"Iraqi Civil War";"June";"2017"
"1";"Shooting";"6";"0";"Tillabéri, Niger";"Four national guards and two military police were killed in an ambush.";"Al-Qaeda in the Islamic Maghreb (suspected)";"Insurgency in the Maghreb";"June";"2017"
"1";"Bombing, Shooting";"16 (+1)";"10";"Diyala, Iraq";"Sixteen Iraqis were killed and wounded in Diyala in separate attacks and bombings in the province, according to security sources.[4]";"Islamic State";"Iraqi Civil War";"June";"2017"
"1";"Shooting";"0";"4";"Timbuktu, Mali";"Four French soldiers were wounded, one seriously, when a United Nations camp in Mali's northern city of Timbuktu was attacked. The soldiers were cooperating with the UN peacekeeping mission MINUSMA.[5]";"Jama'at Nasr al-Islam wal Muslimin";"Insurgency in the Maghreb";"June";"2017"
"1";"Bombing";"4";"0";"Bawiti, Egypt";"Three soldiers and one Egyptian army officer were killed in a bomb blast near El-Bawiti in Egypt's Western Desert.[6]";"Islamic State";"Insurgency in Egypt";"June";"2017"
"1";"Car bombing";"2";"0";"Al-Qatif, Saudi Arabia";"Two people were killed in a car explosion in Al-Qatif, Saudi Arabia just before Maghrib prayers. Three men involved in the attack managed to escape and are currently being hunted by security officers in the area.[7]";"Shia militants";"2017 Qatif unrest";"June";"2017"
"2";"Suicide bombing";"11 (+2)";"30";"Kolofata, Cameroon";"11 people were killed after two girl suicide bombers attacked a camp for people fleeing Boko Haram extremist violence in the region.[8]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"2–3";"Kidnapping, Execution";"1";"1";"Kasserine, Tunisia";"A unit of the National Army discovered the body of the shepherd Khelifa Soltani on Saturday afternoon, on Mount Mghila. He had been kidnapped on Friday by a group of terrorists with another shepherd who hasn´t been found yet.[9]";"Islamic State";"ISIL insurgency in Tunisia";"June";"2017"
"2";"Bombing";"1";"1";"Baghdad, Iraq";"One Iraqi army soldier was killed and another was wounded on Friday when an explosive device went off in western Baghdad.[10]";"Islamic State";"Iraqi Civil War";"June";"2017"
"3";"Suicide bombings";"20 (+3)";"118";"Kabul, Afghanistan";"June 2017 Kabul attack: After recent terrorist incidents in Kabul, funerals were held for the victims. One funeral, for the son of a member of the Afghanistan Assembly, was targeted by several explosions. At least 20 people have been reportedly killed, and many others have been injured.[11]";"Taliban (suspected)";"War in Afghanistan";"June";"2017"
"3";"Bombing";"2";"4";"Tébessa Province, Algeria";"Two soldiers were killed and four others wounded in the explosion of a bomb in the Bir El-Ater region in the province of Tebessa.[12]";"Al-Qaeda in the Islamic Maghreb (suspected)";"Insurgency in the Maghreb";"June";"2017"
"3";"Shooting";"5";"0";"Soum Province, Burkina Faso";"Five people, including three from the same family, were killed on Friday night in three localities of the Soum in different shootings.[13]";"Ansar ul Islam";"Insurgency in the Maghreb";"June";"2017"
"3";"Shooting";"1";"2";"Diyala Province, Iraq";"One soldier was killed, while two others were wounded due to an attack launched by Islamic State militants against checkpoint located east of Abu Saida town in Diyala province.[14]";"Islamic State";"Iraqi Civil War";"June";"2017"
"3";"Vehicular attack, Stabbing";"8 (+3)";"48";"London, United Kingdom";"June 2017 London attack: A van ran over multiple pedestrians on the London Bridge. The men then drove to Borough Market, where they stabbed multiple people before being shot by police. 8 people were killed and 48 were injured.[15][16]";"Islamic State";"Islamic terrorism in Europe";"June";"2017"
"3";"Shooting";"2";"4";"Qazigund, India";"Militants ambushed a military convoy on the Srinagar-Jammu national highway in south Kashmir's Kulgam district on Saturday, killing two and wound 4.[17][18]";"Lashkar-e-Taiba (suspected)";"Kashmir conflict";"June";"2017"
"4";"Shooting";"6 (+2)";"1";"Kandahar Province, Afghanistan";"Afghan officials said at least six police officers have been killed after two fellow police opened fire on them in southern Kandahar province. A Taliban spokesman claimed responsibility for the attack in a statement.[19]";"Taliban";"War in Afghanistan";"June";"2017"
"4";"Shooting";"2";"0";"Quetta, Pakistan";"Two Hazara people were killed in Quetta.[20]";"Islamic State (suspected)";"War in North-West Pakistan";"June";"2017"
"5";"Shelling";"1";"4";"Baghdad, Iraq";"Five members of one family were killed and injured as a mortar shell fell on their house in western Baghdad.[21]";"Islamic State";"Iraqi Civil War";"June";"2017"
"5";"Bombing";"3";"20";"Kismayo, Somalia";"Three were killed and twenty wounded after a grenade exploded inside a police station in the town of Kismayo. Police blame Al Shabaab for the attack.[22]";"Al Shabaab";"War in Somalia";"June";"2017"
"5";"Hostage taking, Shooting";"1 (+1)";"3";"Melbourne, Australia";"June 2017 Melbourne attack: An Islamic State of Iraq and the Levant (ISIS)-inspired terrorist, Yacqub Khayre, killed a man and took a woman hostage before he was shot dead by police following a siege. During the course of the siege three police officers were wounded. Khayre was acquitted in 2011 of involvement in the Holsworthy Barracks terror plot, but was jailed in 2012[23] over a home invasion and released in November 2016 on parole.[24]";"Islamic State (suspected)";"Terrorism in Australia";"June";"2017"
"5";"Shooting";"1";"10";"Odisha, India";"A jawan was killed and 10 others were injured on Monday in a Maoist ambush in Odisha. The attack reportedly happened when personnel belonging to the Special Operation Group were returning to their base camp after completing a combing operation.[25][26]";"Naxals";"Naxalite–Maoist insurgency";"June";"2017"
"6";"Bombing";"10";"16";"Herat, Afghanistan";"2017 Herat bombing: At least seven civilians were killed and 15 more wounded in a bomb blast outside the historic Jama Masjid of Herat, in the western and relatively calm province of Herat.[27]";"Taliban (suspected)";"War in Afghanistan";"June";"2017"
"6";"Melee attack";"0";"1 (+1)";"Paris, France";"2017 Notre Dame attack: A police officer who was outside Notre-Dame Cathedral was injured after he was attacked by a man with a hammer, who was then shot by police.[28]";"Lone wolf";"Islamic terrorism in Europe";"June";"2017"
"6";"Shooting";"2";"0";"North Sinai Governorate, Egypt";"Two police officers were killed in a shootout with gunmen who probably belonged to Islamic State in Egypt's northern Sinai.[29]";"Islamic State";"Sinai insurgency";"June";"2017"
"6";"Shooting";"1";"1";"Mandera, Kenya";"One person was killed and another injured after a vehicle they travelling in was shot at in Mandera North Sub-County.[30]";"Al-Shabaab";"Spillover of the War in Somalia";"June";"2017"
"6";"Landmine";"4";"0";"Dadaab, Kenya";"Four Kenyan aid workers have died after their vehicle hit a mine near the Dadaab refugee camp in the eastern county of Garissa.[31]";"Al-Shabaab";"Spillover of the War in Somalia";"June";"2017"
"6";"Shooting";"1";"6";"Hakkâri Province, Turkey";"At least one Turkish soldier was killed and six others wounded in an attack of PKK militants.[32]";"PKK";"Kurdish–Turkish conflict";"June";"2017"
"6";"Shooting";"2 (+3)";"3";"Nagaland, India";"Three insurgents, one civilian and one military man were killed, and three others were wounded today in clashes between the Indian and NSCN militants.[33]";"NSCN-K and ULFA";"Insurgency in Northeast India";"June";"2017"
"7";"Shooting, suicide Bombings";"18 (+5)";"52";"Tehran, Iran";"2017 Tehran attacks: The Iranian parliament and the Mausoleum of Ruhollah Khomeini were attacked by seven armed men with pistols and Kalashnikov rifles.[34]";"Islamic State";"Assassination and terrorism in Iran";"June";"2017"
"7";"Suicide bombing";"9 (+1)";"2";"Hit, Iraq";"Nine civilians, including children, were killed in a suicide attack that took place in central Hit, west of Iraq.[35]";"Islamic State";"Iraqi Civil War";"June";"2017"
"7";"Bombing";"11";"7";"Mosul, Iraq";"Eleven Iraqi soldiers were killed, while seven others were wounded due to an explosion of a booby-trapped house in western Mosul district.[36]";"Islamic State";"Iraqi Civil War";"June";"2017"
