"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Suicide bombings";"22 (+2)";"100";"Kabul, Afghanistan";"At least 22 people were killed and 100 wounded in two bombs attacks on a police station and intelligence agency offices.[1]";"Taliban";"War in Afghanistan";"March";"2017"
1;"Chemical attack";"0";"7";"Mosul, Iraq";"Seven civilians were wounded due to Islamic State chemical attack on western Mosul.[2][3]";"Islamic State";"Iraqi Civil War";"March";"2017"
1;"Shooting";"4";"2";"Rueso District, Thailand";"Insurgents shot and killed four people, including a child, and wounded another two children on Thursday, police said, days after a deal was reached with the Thai government to establish a safety zone.[4]";"Islamists";"South Thailand Insurgency";"March";"2017"
2;"Bombing";"0";"8";"Manipur, India";"Eight people were injured in an IED explosion near the residence of a Naga People's Front leader at Langol Laimanai village in Imphal West district.[5]";"Jaish-e-Mohammed";"Insurgency in Northeast India";"March";"2017"
2;"Attack";"4";"Unknown";"Benue, Nigeria";"Armed men suspected to be Fulani herdsmen have reportedly attacked Gbemacha council ward in Gwer Local Government Area of Benue state, at least four people die in the attack.[6]";"Fulani herdsmen";"Communal conflicts in Nigeria";"March";"2017"
3;"Shooting";"2";"1+";"Soum, Burkina Faso";"Ansar ul Islam militants on motorbikes killed two people including a school director.[7]";"Ansar ul Islam";"Insurgency in the Maghreb";"March";"2017"
4;"Bombing";"4";"Unknown";"Lanta Buro, Somalia";"A bomb set by Al-Shabaab militants killed four AMISOM soldiers near Lanta Buro, about 40 kilometers from the capital Mogadishu.[8]";"Al-Shabaab";"War in Somalia";"March";"2017"
4;"Bombing";"0";"2";"Baghdad, Iraq";"An improvised explosive device exploded, at noon, near a popular market in al-Shaab area, north of Baghdad, wounding two civilians.[9]";"Islamic State";"Iraqi Civil War";"March";"2017"
5;"Shooting";"11";"4";"Boulikessi, Mali";"Eleven soldiers were killed and four others were injured in an attack on a position of the Malian Army close to the border with Burkina Faso.[10]";"Jama'at Nasr al-Islam wal Muslimin";"Insurgency in the Maghreb";"March";"2017"
5;"Shooting";"6";"1";"Kunduz, Afghanistan";"At least six security forces have lost their lives and one was injured in an attack by armed Taliban on a police checkpoint.[11]";"Taliban";"War in Afghanistan";"March";"2017"
5;"Grenade attack";"0";"1+";"Boyaca, Colombia";"At least one person was injured by a shell of grenade, inform the army.[12]";"ELN";"Colombian Conflict";"March";"2017"
5;"Shooting, Clash";"Unknown";"Unknown";"Chocó, Colombia";"A total of 304 people in the department of Chocó, northwest Colombia, were displaced by fighting between the ELN and the Autodefensas Gaitanistas, a criminal gang of paramilitary origin, the People's Ombudsman said Sunday.[13]";"ELN and Autodefensas Gaitanistas";"Colombian Conflict";"March";"2017"
5;"Bombing";"0";"4";"Sopore, India";"Four children were injured in an explosion in Sopore town of north Kashmir's Baramulla district.[14]";"Jaish-e-Mohammed";"Kashmir conflict";"March";"2017"
5;"Shooting";"6";"1+";"Zinjibar, Yemen";"Five soldiers and a civilian were killed in an al-Qaeda attack in Zinjibar, Yemen.[15]";"Al-Qaeda in the Arabian Peninsula";"Yemeni Civil War";"March";"2017"
5;"Shooting";"5 (+10)";"Unknown";"Mohmand Agency, Pakistan";"Five soldiers were killed by Jamaat-ul-Ahrar militants. 10 terrorists were also killed.[16]";"Jamaat-ul-Ahrar";"Operation Ghazi";"March";"2017"
6;"Roadside Bombing";"4";"3";"Palmyra, Syria";"Russian Major General Pyotr Milyukhin lost both his legs and an eye when a radio controlled bomb hit a military convoy heading from the Tiyas airfield, west of Palmyra, to the Syrian city of Homs, it has been confirmed. Along with him, four other Russian soldiers lost their lives with a further two being injured.[17]";"Islamic State";"Syrian Civil War";"March";"2017"
6;"Shooting";"5";"0";"Wanzarbe, Niger";"At least five Nigerian gendarmes were killed in the night during a likely terrorist attack in the Tillabéri Region.[18]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb";"March";"2017"
6;"Chemical attack";"4";"25";"Mosul, Iraq";"4 civilians were killed and 25 others were injured due to Islamic State chemical attack on western Mosul.[19]";"Islamic State";"Iraqi Civil War";"March";"2017"
6;"Executions";"8";"0";"Kirkuk, Iraq";"Islamic State executed eight civilians in Kirkuk.[20]";"Islamic State";"Iraqi Civil War";"March";"2017"
6;"Suicide car bombing, suicide bombing";"15 (+2)";"Unknown";"Aleppo, Syria";"Two suicide bombings killed fifteen people around Aleppo.[21]";"Islamic State";"Syrian Civil War";"March";"2017"
7;"Bombing";"0";"10";"Madhya Pradesh, India";"2017 Bhopal–Ujjain Passenger train bombing: In first ISIS attack on India, terrorists known to authorities planted low intensity pipe bombs which exploded on a train at the Jabri railway station injuring 10 passengers.";"Islamic State";"Terrorism in India";"March";"2017"
8;"Suicide bombing, shootings";"100+";"63+";"Kabul, Afghanistan";"March 2017 Kabul attack: A team of gunmen staged a complex assault on a military hospital in the Wazir Akbar Khan section of Kabul. At least 43+ people were initially reported killed, while 63 others were injured. Local reports later suggested the death toll was over 100.[22][23][24]";"Islamic State";"War in Afghanistan";"March";"2017"
8;"Shooting";"1 (+2)";"0";"Pulwama, India";"Two militants and a 15-year-old civilian have been killed on Thursday in an encounter between security forces and militants in Padgampora of Pulwama district in Jammu and Kashmir.[25]";"Lashkar-e-Taiba";"Kashmir Conflict";"March";"2017"
8;"Shooting";"4";"1";"Davao del Sur, Philippines";"Five Davao policemen were on their way to respond to a shooting incident in Barangay Sinabyan when suspected members of the New People’s Army ambushed them. In the ambush four policemen were shot dead and one were injured.[26][27]";"New People’s Army";"CPP-NPA-NDF rebellion";"March";"2017"
8;"Shooting";"1 (+1)";"0";"Riyadh, Saudi Arabia";"A police officer was killed by an Islamic State member. Then the perpetrator was killed by the police.[28]";"Islamic State";"Terrorism in Saudi Arabia";"March";"2017"
