"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Knife attack";"2 (+1)";"0";"fMarseille, France";"Marseille stabbing: A man with a knife attacked and killed two women at Saint Charles station and he was shot dead by police officers. The incident is being treated as an 'act of terrorism'. The perpetrator is alleged to have yelled \"Allahu Akbar\" during the attack.[1][2][3]";"Ahmed Hanachi[4]";"Terrorism in Europe";"October";"2017"
1;"Bombing";"0";"0";"eCairo, Egypt";"An explosion occurred at Myanmar's embassy in Cairo. The Hasm Movement claimed responsibility and stated that the act was perpetrated in retaliation for the country's crackdown on Rohingya Muslims.[5]";"Hasm Movement";"Insurgency in Egypt";"October";"2017"
1;"Shooting";"2";"4";"tSirnak, Turkey";"One soldier and one security guard were killed in an attack by PKK terrorists near road construction in the southeastern Turkish province of Sirnak.[6]";"PKK";"Kurdish-Turkish conflict";"October";"2017"
1;"Arson";"0";"0";"parTacuatí, Paraguay";"Two tractors from a farm were incinerated in the city of Tacuatí, San Pedro Department. In addition, a pamphlet was found that would be of the self-denominated Paraguayan People's Army.[7]";"Paraguayan People's Army";"Paraguayan People’s Army insurgency";"October";"2017"
2;"Suicide bombings";"17 (+2)";"Unknown";"syDamascus, Syria";"At least 17 people were killed in suicide bombings that targeted a police station in the Al-Midan neighbourhood of Damascus.[8][9][10]";"Islamic State (suspected)";"Syrian Civil War";"October";"2017"
2;"Bombing";"0";"5";"b Manama, Bahrain";"At least five policemen were wounded in a bomb blast while securing Ashoora procession on Budaiya Highway.[11][12]";"Shia Militants (suspected)";"Terrorism in Bahrain";"October";"2017"
3;"Shooting";"1 (+3)";"4";"in Humhuma, Budgam district, India";"A BSF Assistant sub-inspector was killed and four others injured in a shooting next to Srinagar Airport, in India. Three Jaish-e-Mohammed attackers were also killed.[13]";"Jaish-e-Mohammed";"Insurgency in Jammu and Kashmir";"October";"2017"
4;"Car bombing";"4";"4";"tYuksekova, Turkey";"An improvised explosive device was planted on a road near the town of Yuksekova, southeast Turkey. The attack killed four soldiers and four others were wounded.[14]";"PKK";"Kurdish-Turkish conflict";"October";"2017"
4;"Suicide bombings, shooting";"4 (+3)";"39";"lMisurata, Libya";"Gunmen killed at least four people and wounded 39 in a suicide attack on a court complex in the Libyan city of Misurata.[15]";"Islamic State";"Second Libyan Civil War";"October";"2017"
4;"Ambush";"9 (+21)";"10";"Niger Tillabéri Region, Niger";"Tongo Tongo ambush: Four U.S. Army personnel and five Nigerien soldiers were killed and 10 others were injured after being ambushed while assisting local forces in southwest Niger. No group has claimed responsibility but officials have suspected that the Islamic State was behind the attack.[16][17]";"Islamic State (suspected)";"Insurgency in the Maghreb";"October";"2017"
5;"Suicide bombing";"24 (+1)";"20";"pakJhal Magsi District, Pakistan";"A suicide attacker blew himself up at a Sufi shrine packed with devotees in a village of Jhal Magsi District, killing at least 24 people and injuring twenty others.[18][19]";"Islamic State";"Insurgency in Balochistan";"October";"2017"
